nesaf_ataf_fi nesaf_at+prpers SPS000+PP1CSO00 
wedi'i_luosi_â wedi'i_luosi_â RG 
mohono_fi mohono_fi RG 
ar_hyd ar_hyd SPS000 
am_faint am_faint DT0CS0 
mohono_fe mohono_fe RG 
arno_fo ar+prpers SPS000+PP3MSO00 
danynt_hwy dan+prpers SPS000+PP3CPO00 
arno_fe ar+prpers SPS000+PP3MSO00 
i_mi i+prpers SPS000+PP1CSO00 
croeso_i croeso_i RG 
er_gwaethaf er_gwaethaf SPS000 
rhagddoch_chi rhag+prpers SPS000+PP2CPO00 
drosot_ti dros+prpers SPS000+PP2CSO00 
wedi_syfrdanasent wedi_syfrdanu VMIX3P0 
drostot_ti tros+prpers SPS000+PP2CSO00 dros+prpers SPS000+PP2CSO00 
er_cof_am er_cof_am RG 
oddi_wrthyt_ti oddi_wrth+prpers SPS000+PP2CSO00 
llawer_iawn_o llawer_iawn_o DQ0CP0 
i_lawr i_lawr RG 
rhyngddot_ti rhwng+prpers SPS000+PP2CSO00 
oddi_wrthych oddi_wrth+prpers SPS000+PP2CPO00 
gen_ti gan+prpers SPS000+PP2CSO00 
ei_hunan ei_hun PP3CSN00 
ar_ddisberod ar_ddisberod RG 
hebddo_fo heb+prpers SPS000+PP3MSO00 
wrthym_ni wrth+prpers SPS000+PP1CPO00 
hebddo_fe heb+prpers SPS000+PP3MSO00 
wedi_syfrdanodd wedi_syfrdanu VMIS3S0 
eron_ni er+prpers SPS000+PP1CPO00 
tuag_atat_ti tuag_at+prpers SPS000+PP2CSO00 
fwy_a_mwy mwy_a_mwy RG 
gynni_hi gan+prpers SPS000+PP3FSO00 
nesaf_atat nesaf_at+prpers SPS000+PP2CSO00 
rhagddo_i rhag+prpers SPS000+PP1CSO00 
nesaf_ati_hi nesaf_at+prpers SPS000+PP3FSO00 
y_rheini y_rheiny DD0CP0 
wedi_syfrdanwch wedi_syfrdanu VMIP2P0 wedi_syfrdanu VMM02P0 
erddo_ef er+prpers SPS000+PP3MSO00 
lawer_o llawer_o DQ0CP0 
hebof_fi heb+prpers SPS000+PP1CSO00 
y_rheiny y_rheiny DD0CP0 
am_ben am_ben SPS000 
ar_oledd ar_oledd RG 
fel_arall fel_arall RG 
hebddoch_chi heb+prpers SPS000+PP2CPO00 
wedi_syfrdanasit wedi_syfrdanu VMIX2S0 
o_gwmpas o_gwmpas SPS000 
tuag_atynt tuag_at+prpers SPS000+PP3CPO00 
gennych_chi gan+prpers SPS000+PP2CPO00 
tuag_ato_ef tuag_at+prpers SPS000+PP3MSO00 
wedi_syfrdanasid wedi_syfrdanu VMIXIP0 
mohonyn_nhw mohonyn_nhw RG 
wedi_syfrdanent wedi_syfrdanu VMM03P0 wedi_syfrdanu VMII3P0 
ar_fy_mhen_fy_hunan ar_fy_mhen_fy_hun RG 
wedi_syfrdanych wedi_syfrdanu VMSP2S0 
o_reidrwydd o_reidrwydd RG 
ar_gael ar_gael RG 
doed_a_ddelo doed_a_ddelo RG 
ar_goedd ar_goedd RG 
wedi_syfrdanasant wedi_syfrdanu VMIS3P0 
fesul_tudalen fesul_tudalen RG 
ohonot_ti o+prpers SPS000+PP2CSO00 
mohono_fo mohono_fo RG 
y_leill y_llall PD0CP000 
o_amgylch o_amgylch SPS000 
tuag_atoch_chi tuag_at+prpers SPS000+PP2CPO00 
ar_gyfer ar_gyfer SPS000 
erddi_hi er+prpers SPS000+PP3FSO00 
yn_gyfangwbl yn_gyfangwbl RG 
erbyn_meddwl erbyn_meddwl RG 
ohonof_fi o+prpers SPS000+PP1CSO00 
drosoch_chi dros+prpers SPS000+PP2CPO00 
ohonoch_chi o+prpers SPS000+PP2CPO00 
mohonon_ni mohonon_ni RG 
danom_ni dan+prpers SPS000+PP1CPO00 
nesaf_ata_i nesaf_at+prpers SPS000+PP1CSO00 
wrthoch_chi wrth+prpers SPS000+PP2CPO00 
yn_erbyn yn_erbyn SPS000 
mha_rai pa_rai PT0CP000 
nesaf_aton_ni nesaf_at+prpers SPS000+PP1CPO00 
heb_siw_na_miw heb_siw_na_miw RG 
fesul_dyfais fesul_dyfais RG 
hebddo_ef heb+prpers SPS000+PP3MSO00 
ers_faint ers_faint DT0CS0 
ono_fe o+prpers SPS000+PP3MSO00 
tu_allan_i tu_allan_i SPS000 
gan_amlaf gan_amlaf RG 
trosoch_chi tros+prpers SPS000+PP2CPO00 
ono_fo o+prpers SPS000+PP3MSO00 
rhagom_ni rhag+prpers SPS000+PP1CPO00 
